Date,Trimestre,Retorno
15/12/2017,20171001,0.008974344
18/12/2017,20171001,0.005362807
19/12/2017,20171001,-0.003230269
20/12/2017,20171001,-0.000827893
21/12/2017,20171001,0.001985656
22/12/2017,20171001,-0.000458166
26/12/2017,20171001,-0.001058415
27/12/2017,20171001,0.000790941
28/12/2017,20171001,0.001833999
29/12/2017,20171001,-0.005183153
2/01/2018,20180101,0.008303362
3/01/2018,20180101,0.006398819
4/01/2018,20180101,0.004028636
5/01/2018,20180101,0.007033767
8/01/2018,20180101,0.001662344
9/01/2018,20180101,0.001302932
10/01/2018,20180101,-0.001112227
11/01/2018,20180101,0.007033647
12/01/2018,20180101,0.006749603
16/01/2018,20180101,-0.003524487
17/01/2018,20180101,0.009415052
18/01/2018,20180101,-0.00161639
19/01/2018,20180101,0.004385235
22/01/2018,20180101,0.008066727
23/01/2018,20180101,0.002174365
24/01/2018,20180101,-0.000559976
25/01/2018,20180101,0.000602621
26/01/2018,20180101,0.011841196
29/01/2018,20180101,-0.006731974
30/01/2018,20180101,-0.010898815
31/01/2018,20180101,0.000488985
1/02/2018,20180101,-0.000648089
2/02/2018,20180101,-0.021208548
5/02/2018,20180101,-0.040979225
6/02/2018,20180101,0.017440921
7/02/2018,20180101,-0.005001589
8/02/2018,20180101,-0.03753642
9/02/2018,20180101,0.01493609
12/02/2018,20180101,0.013914585
13/02/2018,20180101,0.00261293
14/02/2018,20180101,0.013402458
15/02/2018,20180101,0.012069113
16/02/2018,20180101,0.00037347
20/02/2018,20180101,-0.005841389
21/02/2018,20180101,-0.005496503
22/02/2018,20180101,0.000973551
23/02/2018,20180101,0.016028376
26/02/2018,20180101,0.011757015
27/02/2018,20180101,-0.012706889
28/02/2018,20180101,-0.011095789
